Drop_ID,Date,Location,Designation,3D Points,3D Lengths,Depth (m),Habitat,Relief,Rugosity,Simpson_div,Shannon_div,Notes
19.05,20230622,Point_Buchon,MPA,15,13,24.32,Mixed-hard,Medium,High,0.6933333,1.360514,
19.06,20230622,Point_Buchon,MPA,9,8,28.71,Mixed-hard,Medium,Low,0.617284,1.14906,
20.01,20230622,Point_Buchon,MPA,7,5,17.55,Hard,Medium,High,0.8163265,1.747868,
20.03,20230622,Point_Buchon,MPA,21,18,24.14,Hard,High,Medium,0.6485261,1.558562,
20.04,20230622,Point_Buchon,MPA,4,3,43.89,Soft,Low,Low,0,0,
20.05,20230622,Point_Buchon,MPA,8,5,36.76,Mixed-hard,Medium,Low,0.75,1.494175,
20.06,20230622,Point_Buchon,MPA,3,3,25.79,Mixed-hard,Medium,Medium,0.6666667,1.098612,
21.01,20230622,Point_Buchon,REF,4,4,15.42,Hard,Low,Medium,0.625,1.039721,
21.03,20230622,Point_Buchon,REF,24,21,32,Hard,Low,Low,0.6770833,1.238017,
21.04,20230622,Point_Buchon,REF,10,8,32.74,Hard,Low,Medium,0.78,1.557113,
21.05,20230622,Point_Buchon,REF,12,6,45.54,Hard,High,Medium,0.8055556,1.791759,
21.06,20230622,Point_Buchon,REF,20,18,62.18,Hard,Medium,High,0.585,1.10589,
22.01,20230622,Point_Buchon,REF,59,36,34.02,Hard,High,High,0.4831945,1.234611,
22.03,20230622,Point_Buchon,REF,74,58,37.49,Hard,High,High,0.6241782,1.230717,
22.04,20230622,Point_Buchon,REF,114,102,37.31,Mixed-hard,Medium,Medium,0.2403817,0.5654115,
22.05,20230622,Point_Buchon,REF,3,3,15.89,Hard,Low,High,0.6666667,1.098612,
23.01,20230623,Point_Buchon,REF,25,23,25.24,Hard,High,High,0.688,1.565983,
23.03,20230623,Point_Buchon,REF,41,36,28.9,Hard,High,Medium,0.6829268,1.657507,
23.04,20230623,Point_Buchon,REF,6,4,33.83,Hard,Medium,Low,0.6111111,1.011404,
23.06,20230623,Point_Buchon,REF,32,25,49.73,Hard,High,High,0.7128906,1.784645,
24.01,20230623,Point_Buchon,MPA,8,3,23.77,Hard,Medium,Medium,0.75,1.494175,
24.04,20230623,Point_Buchon,MPA,4,2,36.39,Mixed-Hard,Low,Medium,0.75,1.386294,
24.05,20230623,Point_Buchon,MPA,133,25,28.35,Mixed-Hard,High,High,0.38148,0.8120786,
25.01,20230623,Point_Buchon,MPA,12,7,24.32,Mixed-hard,Low,Medium,0.7638889,1.517106,
25.03,20230623,Point_Buchon,MPA,23,20,19.02,Mixed-hard,High,Medium,0.6956522,1.6582,
25.04,20230623,Point_Buchon,MPA,80,71,31.27,Mixed-hard,Medium,Low,0.7553125,1.731438,
25.05,20230623,Point_Buchon,MPA,4,1,29.99,Soft,Low,Low,0.375,0.5623351,
25.06,20230623,Point_Buchon,MPA,31,26,37.12,Hard,Medium,High,0.7596254,1.895363,
26.01,20230623,Point_Buchon,MPA,9,6,54.32,Soft,Low,Low,0.8148148,1.735126,
26.03,20230623,Point_Buchon,MPA,23,17,56.69,Soft,Low,Low,0.6880907,1.460986,
26.04,20230623,Point_Buchon,MPA,40,36,46.82,Mixed-hard,High,High,0.7575,1.743601,
26.05,20230623,Point_Buchon,MPA,24,21,44.26,Hard,High,High,0.8402778,2.10191,
26.06,20230623,Point_Buchon,MPA,14,9,42.06,Hard,High,Low,0.8877551,2.304619,
27.01,20230711,Ano_Nuevo,REF,2,2,37,Mixed-soft,Low,Low,0.5,0.6931472,
27.03,20230711,Ano_Nuevo,REF,5,4,38,Mixed-hard,Low,Medium,0.56,0.9502705,
27.04,20230711,Ano_Nuevo,REF,11,4,40.5,Hard,Medium,Medium,0.7933884,1.767761,
27.05,20230711,Ano_Nuevo,REF,21,11,39,Hard,Low,Low,0.7709751,1.737127,
27.06,20230711,Ano_Nuevo,REF,12,8,39.5,Hard,Medium,Medium,0.8472222,1.979205,
28.01,20230711,Ano_Nuevo,MPA,1,1,37.5,Hard,Medium,High,0,0,
28.03,20230711,Ano_Nuevo,MPA,10,7,35.5,Hard,High,High,0.78,1.643418,
28.04,20230711,Ano_Nuevo,MPA,83,17,33.5,Hard,Medium,Low,0.5217013,0.8048662,
28.05,20230711,Ano_Nuevo,MPA,1,0,37.5,Hard,Low,Low,0,0,
28.06,20230711,Ano_Nuevo,MPA,29,8,31.5,Hard,Low,Low,0.4137931,0.9745638,
29.01,20230711,Ano_Nuevo,REF,9,6,35.5,Hard,Low,Medium,0.4938272,0.6869616,
29.04,20230711,Ano_Nuevo,REF,5,3,36.5,Hard,Medium,High,0.72,1.332179,
30.01,20230711,Ano_Nuevo,MPA,4,3,38.5,Mixed-hard,High,Low,0.625,1.039721,
30.03,20230711,Ano_Nuevo,MPA,3,1,32.5,Hard,Medium,Low,0.6666667,1.098612,
30.04,20230711,Ano_Nuevo,MPA,2,0,42.5,Soft,Low,Low,0,0,
30.05,20230711,Ano_Nuevo,MPA,0,0,37.5,Hard,Medium,High,NA,NA,No fish
30.06,20230711,Ano_Nuevo,MPA,1,0,37.5,Soft,Low,Low,0,0,
31.01,20230711,Ano_Nuevo,MPA,4,1,38.5,Hard,Medium,High,0.625,1.039721,
31.03,20230711,Ano_Nuevo,MPA,7,6,37.5,Mixed-hard,Medium,High,0.5714286,0.9556999,
31.05,20230711,Ano_Nuevo,MPA,1,1,32.5,Hard,Medium,Low,0,0,
32.01,20230712,Ano_Nuevo,REF,5,4,49,Hard,Medium,Medium,0.72,1.332179,
32.03,20230712,Ano_Nuevo,REF,5,5,41,Mixed-soft,Low,Low,0.72,1.332179,
32.04,20230712,Ano_Nuevo,REF,9,7,46,Hard,Medium,High,0.7901235,1.676988,
32.06,20230712,Ano_Nuevo,REF,11,10,42,Hard,Medium,Medium,0.7603306,1.594167,
33.01,20230713,Ano_Nuevo,MPA,25,23,37,Hard,Medium,High,0.8608,2.223069,
33.04,20230713,Ano_Nuevo,MPA,5,3,32,Hard,Medium,High,0.72,1.332179,
33.05,20230713,Ano_Nuevo,MPA,2,0,38,Soft,Low,Low,0,0,
33.06,20230713,Ano_Nuevo,MPA,2,2,33,Mixed-soft,Low,Low,0.5,0.6931472,
34.01,20230713,Ano_Nuevo,REF,11,8,45,Mixed-hard,Low,Medium,0.7438017,1.46814,
34.03,20230713,Ano_Nuevo,REF,6,3,36,Hard,Medium,Medium,0.6111111,1.011404,
35.01,20230714,Ano_Nuevo,MPA,14,0,41,NA,NA,NA,0.5306122,0.9911389,Moisture in lens distorting habitat
35.03,20230714,Ano_Nuevo,MPA,2,2,42,Soft,Low,Low,0,0,
35.04,20230714,Ano_Nuevo,MPA,9,9,38,Mixed-soft,Low,Medium,0.7901235,1.676988,
35.05,20230714,Ano_Nuevo,MPA,7,7,39,Hard,Low,Low,0.244898,0.4101163,
35.06,20230714,Ano_Nuevo,MPA,3,3,32,Mixed-soft,Low,Low,0.4444444,0.6365142,
36.03,20230725,Montara,REF,10,4,31.1,Soft,Low,Low,0.32,0.5004024,
36.04,20230725,Montara,REF,6,3,31.4,Soft,Low,Low,0.5,0.8675632,
36.05,20230725,Montara,REF,3,2,32.3,Soft,Low,Low,0.6666667,1.098612,
36.06,20230725,Montara,REF,6,6,29.9,Soft,Low,Low,0.2777778,0.4505612,
36.07,20230725,Montara,REF,6,6,30.8,Soft,Low,Low,0.5,0.8675632,
37.03,20230725,Montara,MPA,43,13,33.2,Mixed-Soft,Low,Low,0.6565711,1.269972,
37.04,20230725,Montara,MPA,7,5,37.2,Soft,Low,Low,0.6122449,1.004242,
37.05,20230725,Montara,MPA,2,1,33.5,Mixed-Soft,Low,Low,0,0,
37.06,20230725,Montara,MPA,5,5,36.6,Soft,Low,Low,0.32,0.5004024,
37.07,20230725,Montara,MPA,12,11,35.4,Hard,Medium,Medium,0.7083333,1.589027,
38.03,20230725,Montara,MPA,6,1,35.4,Mixed-hard,Medium,Low,0,0,
38.05,20230725,Montara,MPA,2,2,35.7,Hard,Low,Medium,0.5,0.6931472,
38.07,20230725,Montara,MPA,43,23,36.6,Mixed-soft,Low,Low,0.7247161,1.652693,
39.03,20230725,Montara,REF,3,2,33.2,Soft,Low,Low,0.6666667,1.098612,
39.04,20230725,Montara,REF,5,3,35.5,Soft,Low,Low,0,0,
39.05,20230725,Montara,REF,2,2,34.7,Soft,Low,Low,0,0,
39.06,20230725,Montara,REF,3,3,33.2,Soft,Low,Low,0.4444444,0.6365142,
39.07,20230725,Montara,REF,3,3,36.9,Mixed-hard,Low,Low,0.4444444,0.6365142,
40.03,20230725,Montara,REF,8,6,31.1,Soft,Low,Low,0.5625,1.073543,
40.04,20230725,Montara,REF,5,2,29.3,Mixed-soft,Low,Low,0.48,0.6730117,
40.05,20230725,Montara,REF,3,2,31.1,Soft,Low,Low,0.4444444,0.6365142,
40.06,20230725,Montara,REF,5,5,31.1,Soft,Low,Low,0,0,
40.07,20230725,Montara,REF,34,3,31.1,Mixed-hard,Medium,Low,0.432526,0.8820847,
41.03,20230725,Montara,MPA,5,4,35.5,Hard,Low,Low,0.72,1.332179,
41.04,20230725,Montara,REF,4,4,35.7,Soft,Low,Low,0,0,
41.05,20230725,Montara,REF,1,1,35.7,Soft,Low,Low,0,0,
41.06,20230725,Montara,REF,8,8,34.4,Mixed-Hard,Low,Low,0.78125,1.559581,
41.07,20230725,Montara,REF,8,6,34.7,Soft,Low,Low,0.59375,0.9743148,
42.03,20230726,Montara,REF,3,3,32.6,Soft,Low,Low,0.4444444,0.6365142,
42.04,20230726,Montara,REF,55,21,31.7,Hard,High,Low,0.2644628,0.6320774,
42.05,20230726,Montara,REF,5,5,35.1,Mixed-Soft,Low,Low,0.72,1.332179,
42.06,20230726,Montara,REF,6,5,32,Soft,Low,Low,0.5,0.6931472,
42.07,20230726,Montara,REF,6,6,30.5,Soft,Low,Low,0.4444444,0.6365142,
43.03,20230726,Montara,REF,6,4,36,Soft,Low,Low,0.5,0.8675632,
43.04,20230726,Montara,REF,3,3,43,Soft,Low,Low,0.4444444,0.6365142,
43.05,20230726,Montara,REF,3,1,33.8,Soft,Low,Low,0,0,
43.06,20230726,Montara,REF,3,2,32,Mixed-Hard,Low,Low,0.4444444,0.6365142,
43.07,20230726,Montara,REF,5,4,31.7,Hard,Low,Low,0.8,1.609438,
44.03,20230726,Montara,MPA,2,2,32.6,Soft,Low,Low,0.5,0.6931472,
44.04,20230726,Montara,MPA,0,0,34.4,Hard,NA,NA,NA,NA,"No fish, only a very small portion of habitat visible at any point"
44.05,20230726,Montara,MPA,2,1,30.5,Hard,Low,Medium,0.5,0.6931472,
44.06,20230726,Montara,MPA,5,2,33.2,Hard,Medium,Medium,0.8,1.609438,
44.07,20230726,Montara,MPA,3,1,32.9,Hard,Low,Low,0.6666667,1.098612,
45.03,20230726,Montara,MPA,2,2,36.3,Soft,Low,Low,0.5,0.6931472,
45.04,20230726,Montara,MPA,2,1,28.3,Hard,Low,Low,0.5,0.6931472,
45.05,20230726,Montara,MPA,7,7,34.4,Hard,Low,Medium,0,0,
45.06,20230726,Montara,MPA,29,9,36,Hard,Medium,High,0.7895363,1.925588,
45.07,20230726,Montara,MPA,26,12,22.2,Hard,High,High,0.8461538,2.171591,
46.03,20230726,Montara,REF,6,2,36,Soft,Low,Low,0,0,
46.04,20230726,Montara,REF,2,2,35.1,Soft,Low,Low,0.5,0.6931472,
46.05,20230726,Montara,REF,2,2,37.5,Soft,Low,Low,0,0,
46.06,20230726,Montara,REF,4,3,34.4,Soft,Low,Low,0.625,1.039721,
46.07,20230726,Montara,REF,2,2,30.2,Soft,Low,Low,0,0,
47.03,20230726,Montara,MPA,7,4,32.3,Hard,Medium,Medium,0.6938776,1.277034,
47.04,20230726,Montara,MPA,3,1,35.7,Soft,Low,Low,0.6666667,1.098612,
47.06,20230726,Montara,MPA,15,5,36.9,Soft,Low,Low,0.24,0.4850941,
47.07,20230726,Montara,MPA,7,5,34.1,Hard,Medium,High,0.8163265,1.747868,
48.03,20230727,Montara,MPA,9,8,37.8,Soft,Low,Low,0.4938272,0.8486856,
48.04,20230727,Montara,MPA,8,6,39.3,Hard,Low,Low,0.78125,1.559581,
48.05,20230727,Montara,MPA,11,9,31.1,Mixed-Hard,Low,Low,0.7107438,1.414279,
48.06,20230727,Montara,MPA,8,5,34.4,Hard,High,Low,0.5625,1.073543,
48.07,20230727,Montara,MPA,6,2,32.6,Mixed-Hard,Medium,Low,0.6111111,1.011404,
49.04,20230727,Montara,REF,1,1,33.2,Hard,Low,Low,0,0,
49.05,20230727,Montara,REF,4,2,32,Low,Soft,Soft,0.375,0.5623351,
49.07,20230727,Montara,REF,6,5,28.6,Hard,High,Low,0.6666667,1.242453,
50.03,20230727,Montara,MPA,4,2,34.1,Soft,Low,Low,0.5,0.6931472,
50.04,20230727,Montara,MPA,6,5,24,Hard,Low,Low,0.7222222,1.329661,
50.05,20230727,Montara,MPA,3,2,28.4,Mixed-soft,Low,Low,0.4444444,0.6365142,
50.06,20230727,Montara,MPA,7,5,32.6,Mixed-soft,Low,Low,0.7755102,1.549826,
50.07,20230727,Montara,MPA,22,9,30.8,Mixed-Hard,Low,Low,0.7190083,1.515708,
51.03,20230727,Montara,MPA,1,1,31.4,Soft,Low,Low,0,0,
51.05,20230727,Montara,MPA,3,2,33.2,Soft,Low,Low,0.4444444,0.6365142,
51.06,20230727,Montara,MPA,10,10,27.9,Hard,Low,Medium,0.84,1.886697,
51.07,20230727,Montara,MPA,5,2,40.8,Mixed-Soft,Low,Low,0.56,0.9502705,
