Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,221.767,7.421,3.124,2684.085,9.762,26.551,11.218,-328.101,-315.358,-2645.224,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,5,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,204.117,4.239,18.585,1382.291,10.078,82.504,3.892,126.301,-206.299,-1360.962,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,4,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,142.728,2.753,20.264,1248.853,19.09,73.518,2.385,374.809,-162.316,-1180.172,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,3,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,113.038,2.067,23.526,1054.01,16.155,87.086,30.469,3.323,-293.238,-1012.392,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,7853,4.3671,3.1576,104.543,1.304,24.557,1106.962,19.294,24.29,4.28,-157.559,-330.091,-1044.787,1.03,AW,36.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.03_PointLobosMPA_5L_1.MP4,13822,7.6866,6.477,335.187,4.42,19.03,1512.455,19.725,73.194,5.785,-312.786,-403.41,-1423.708,1.03,AW,36.3,,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_1.MP4,10990,6.1117,5.0929,107.737,2.435,8.316,1649.26,24.278,24.761,43.587,496.025,-462.401,-1503.397,1.04,KR,31,,Hexagrammidae,Oxylebius,pictus,Painted_Greenling,83,1,AD,Passing,,OPIC 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,989,12.4285,11.4097,290.475,2.822,11.04,1399.36,17.532,36.131,3.11,131.007,-400.655,-1334.361,1.04,KR,31,,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,SCAR 1
20230613,Point_Lobos,MPA,20230613_D1.04_PointLobosMPA_7L_2.MP4,1702,12.825,11.8062,370.391,2.191,16.033,1013.085,10.14,62.887,27.834,61.538,-167.407,-997.261,1.04,KR,31,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 1
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3611,13.87,12.8445,77.222,8.46,10.143,1917.955,12.491,81.855,15.765,-118.08,-397.671,-1872.556,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 6
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,73.126,4.245,8.061,1740.366,28.058,86.316,9.929,-770.703,-275.955,-1535.819,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 7
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,106.536,1.687,9.717,1460.205,24.824,9.871,12.82,-463.869,-400.802,-1325.285,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 1
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,99.827,1.791,9.248,1366.047,26.51,24.064,2.792,-420.998,-441.073,-1222.416,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 2
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,58.991,2.22,11.027,1292.883,23.98,42.252,16.34,-300.112,-431.326,-1181.286,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 3
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,127.116,8.005,11.776,2184.614,13.187,46.032,12.239,-289.868,-405.429,-2127.003,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 5
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3950,14.0585,13.033,100.895,2.506,7.707,1360.416,20.19,36.887,16.261,35.55,-468.17,-1276.826,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 4
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,2748,1.5282,0,460.722,1.003,4.829,1062.448,12.74,8.07,42.005,38.52,-231.117,-1036.29,2.05,AW,45,na,Scorpaenidae,Sebastes,pinniger,Canary_Rockfish,147,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3082,1.7139,0.1857,311.091,2.096,2.372,1413.697,2.56,21.599,19.215,-52.907,34.469,-1412.286,2.05,AW,45,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3082,1.7139,0.1857,267.306,4.483,5.337,1961.038,23.923,38.944,15.923,793.315,54.805,-1792.573,2.05,AW,45,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,50.107,1.437,2.492,1035.058,20.276,31.47,3.208,-355.949,44.281,-970.919,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,48.36,1.605,3.421,1148.846,10.025,26.565,18.073,-115.502,-163.255,-1131.306,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,2,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,55.887,0.906,3.102,1100.192,12.091,0.778,26.775,-19.451,-229.62,-1075.787,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,4,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,60.72,1.805,2.19,971.736,20.977,87.484,12.314,196.993,-286.732,-907.332,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,5,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3795,2.1104,0.5822,453.316,3.092,4.327,2136.36,26.569,10.326,29.671,906.789,301.335,-1910.75,2.05,AW,45,na,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_3.MP4,3803,25.7552,24.227,65.018,1.446,1.743,945.498,10.03,41.442,17.845,143.108,-81.479,-931.047,2.05,AW,45,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_3.MP4,3803,25.7552,24.227,40.076,0.628,3.174,721.973,15.803,20.228,2.666,79.558,-179.795,-694.686,2.05,AW,45,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,144.857,8.019,54.569,2167.26,5.448,73.835,45.94,-161.552,127.412,-2157.472,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,145.31,9.325,107.366,2367.491,7.67,69.083,42.735,63.556,309.539,-2346.308,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,3,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,114.725,5.432,115.209,2331.79,15.957,64.966,61.649,370.103,523.436,-2241.937,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,4,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,115.639,7.709,81.71,2395.187,2.374,61.088,52.307,25.758,-95.824,-2393.131,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,5,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,8202,4.5612,2.6916,113.897,8.409,118.692,2474.019,6.754,49.301,39.703,248.018,152.127,-2456.85,3.01,MK,50,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,6,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_1.MP4,14868,8.2683,6.3986,136.658,6.381,102.066,2223.261,27.622,88.353,35.641,434.321,934.81,-1969.869,3.01,MK,50,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,9916,17.3762,15.5066,60.141,1.302,117.342,1238.092,21.023,8.209,32.056,-284.871,-340.771,-1155.68,3.01,MK,50,,Cottidae,,,Unid_Sculpin,,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,12134,18.6097,16.7401,241.795,6.467,108.672,2216.024,20.932,79.392,38.852,649.162,453.195,-2069.774,3.01,MK,50,,Scorpaenidae,Sebastes,miniatus,Vermilion_Rockfish,198,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_2.MP4,14067,19.6847,17.815,38.011,1.205,70.274,1025.348,20.354,38.478,30.288,344.626,91.769,-961.327,3.01,MK,50,,Cottidae,,,Unid_Sculpin,,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.01_PointLobosREF_1L_4.MP4,12422,42.3601,40.4904,174.265,1.415,50.443,1556.331,5.12,6.652,58.946,-107.685,-87.715,-1550.122,3.01,MK,50,,Scorpaenidae,Sebastes,rosaceus,Rosy_Rockfish,180,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4347,2.4174,1.075,342.622,6.405,5.966,3135.704,28.751,1.929,8.49,-1427.943,485.75,-2749.12,3.03,AW,37.7,na,Scorpaenidae,Sebastes,caurinus,Copper_Rockfish,151,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4478,2.4903,1.1478,229.679,18.424,10.986,3632.375,27.417,78.861,7.115,-1669.84,-95.243,-3224.394,3.03,AW,37.7,na,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4478,2.4903,1.1478,383.409,27.362,13.437,4075.269,23.357,88.004,2.047,-1615.668,-7.23,-3741.307,3.03,AW,37.7,na,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,4759,2.6465,1.3041,419.468,10.776,16.324,2990.959,25.683,49.79,7.342,858.792,970.974,-2695.463,3.03,AW,37.7,na,Scorpaenidae,Sebastes,miniatus,Vermilion_Rockfish,198,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5380,2.9919,1.6494,257.337,11.513,4.078,2515.892,9.689,54.806,6.825,-181.606,-382.489,-2480.007,3.03,AW,37.7,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,128.944,4.178,9.191,1987.93,8.112,27.007,15.089,62.993,273.355,-1968.039,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,146.037,5.747,2.697,2714.234,17.32,15.275,1.215,-803.315,-87.368,-2591.162,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,157.214,2.531,2.281,2194.896,23.724,7.157,6.732,-439.317,766.03,-2009.42,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,3,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,147.301,3.324,11.305,2303.763,32.981,0.734,18.421,-1215.047,310.384,-1932.523,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,6,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,359.602,12.539,10.658,3360.624,31.682,74.069,21.783,-1630.627,675.548,-2859.805,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,7,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,5839,3.2471,1.9047,210.362,7.916,5.074,2797.369,24.301,37.148,26.366,-977.43,608.189,-2549.512,3.03,AW,37.7,na,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,8,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,8288,4.609,3.2666,168.947,3.023,11.507,2966.078,15.748,3.586,6.719,278.341,755.356,-2854.747,3.03,AW,37.7,na,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,8288,4.609,3.2666,214.048,4.486,11.398,2770.625,21.659,15.591,1.642,344.628,962.75,-2575.016,3.03,AW,37.7,na,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,100.806,3.122,23.582,1946.049,32.15,31.596,14.817,-894.514,-521.787,-1647.632,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,80.432,1.822,10.178,1745.084,21.739,4.873,42.674,643.218,-63.548,-1620.972,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,4,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,102.885,4.177,3.397,1945.762,13.847,31.625,20.656,389.96,-254.554,-1889.212,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,5,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,95.25,2.154,12.634,1532.086,15.716,22.523,19.986,133.534,-392.923,-1474.811,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,7,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,114.204,1.877,17.413,1377.958,11.3,22.785,19.819,56.95,-263.933,-1351.246,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,9,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,170.522,1.951,16.461,1275.07,20.399,34.75,6.861,259.17,-361.05,-1195.106,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,6,AD,Passing,RYOY>100mm probable S. pinniger,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,95.771,10.249,10.743,2903.638,27.249,53.568,11.48,-1238.851,-482.425,-2581.4,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,10,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,87.925,3.632,10.928,2408.649,20.659,5.453,9.273,-720.488,-450.555,-2253.772,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,11,AD,Passing,RYOY,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,18279,10.1652,8.8227,173.236,6.005,1.341,2949.207,15.775,13.378,10.269,-723.787,-344.953,-2838.126,3.03,AW,37.7,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,12,AD,Passing,RYOY>100mm Probable S. pinniger,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_1.MP4,19879,11.0549,9.7125,483.475,3.537,15.853,2242.493,25.79,5.845,2.795,-965.572,139.884,-2019.129,3.03,AW,37.7,na,Scorpaenidae,Sebastes,pinniger,Canary_Rockfish,147,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_3.MP4,3329,25.4582,24.1158,95.197,9.03,3.062,2171.5,10.792,61.675,5.427,182.317,-363.417,-2133.097,3.03,AW,37.7,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,1,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_3.MP4,3329,25.4582,24.1158,104.501,5.219,8.876,2026.587,13.398,36.002,16.35,-141.192,-447.849,-1971.434,3.03,AW,37.7,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,2,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.03_PointLobosREF_5L_3.MP4,3329,25.4582,24.1158,102.807,2.696,7.029,1717.755,23.432,25.595,3.009,614.186,-298.955,-1576.097,3.03,AW,37.7,na,Gobiidae,Rhinogobiops,nicholsii,Blackeye_Goby,77,3,AD,Passing,,
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,2131,1.1851,0.015,46.136,1.856,8.059,1907.615,15.522,6.446,8.776,-117.569,-496.771,-1838.04,3.04,KR,41.3,,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,,RYOY 1
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,2131,1.1851,0.015,54.615,2.688,8.986,2032.12,19.525,11.539,9.321,299.755,-609.43,-1915.268,3.04,KR,41.3,,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,,RYOY 2
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3059,1.7011,0.5311,386.219,4.752,7.227,1567.836,8.513,48.791,6.744,-104.429,-207.268,-1550.562,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 2
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3109,1.7289,0.5589,294.478,2.468,6.54,1439.079,20.442,29.902,3.555,-502.141,-21.65,-1348.456,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 3
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3140,1.7462,0.5761,322.461,7.206,12.145,2573.589,23.311,27.624,3.074,953.689,-357.354,-2363.501,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 4
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3174,1.7651,0.595,275.457,1.331,5.37,979.828,15.815,39.361,40.466,147.016,-222.926,-942.737,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 1
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3200,1.7796,0.6095,265.633,4.174,4.246,1556.831,27.618,82.095,7.236,604.628,-394.044,-1379.448,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 5
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3284,1.8263,0.6562,273.508,5.678,5.954,1635.545,13.03,60.501,10.221,232.488,-286.22,-1593.435,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 6
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3357,1.8669,0.6968,233.278,21.68,16.535,4071.292,20.962,36.772,2.171,1417.179,-336.224,-3801.838,3.04,KR,41.3,,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,1,AD,Passing,,RVAC 1
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3383,1.8813,0.7113,293.741,1.741,6.155,1332.332,17.581,16.939,7.023,-347.906,-202.256,-1270.103,3.04,KR,41.3,,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,SSER 7
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,3463,1.9258,0.7558,255.272,16.044,26.127,3511.063,28.954,54.54,7.748,1664.19,-345.662,-3072.223,3.04,KR,41.3,,Embiotocidae,Rhacochilus,vacca,Pile_Perch,62,1,AD,Passing,,RVAC 2
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,4104,2.2823,1.1122,279.622,10.472,11.792,2694.341,17.184,38.464,4.556,485.146,631.101,-2574.066,3.04,KR,41.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,SMYS 17
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,4270,2.3746,1.2045,257.105,18.513,16.746,4587.224,25.441,23.495,6.148,-1882.072,583.999,-4142.388,3.04,KR,41.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,SMYS 36
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,4440,2.4691,1.2991,306.88,4.928,10.916,2687.42,17.245,0.347,3.02,790.447,99.82,-2566.604,3.04,KR,41.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,SMYS 12
20230613,Point_Lobos,REF,20230613_D3.04_PointLobosREF_7L_1.MP4,4450,2.4747,1.3046,226.065,4.133,8.938,2162.433,14.146,17.429,7.175,-525.647,-54.841,-2096.856,3.04,KR,41.3,,Scorpaenidae,Sebastes,mystinus,Blue_Rockfish,142,1,AD,Passing,,SMYS 6
