OpCode,Spp_richness,Date,Location,Designation,3D Points,3D Lengths,Depth (m),Habitat,Relief,Rugosity,Simpson_div,Shannon_div,Notes
3.04,6,20230613,Point_Lobos,REF,58,44,41.3,Hard,High,High,0.4934602,1.022784,NA
3.05,11,20230613,Point_Lobos,REF,108,46,30.9,Hard,Medium,High,0.6363169,1.362642,NA
30.01,3,20230711,Ano_Nuevo,MPA,4,3,38.5,Mixed-hard,High,Low,0.625,1.039721,NA
30.03,3,20230711,Ano_Nuevo,MPA,3,1,32.5,Hard,Medium,Low,0.6666667,1.098612,NA
30.04,1,20230711,Ano_Nuevo,MPA,2,0,42.5,Soft,Low,Low,0,0,NA
30.05,1,20230711,Ano_Nuevo,MPA,0,0,37.5,Hard,Medium,High,NA,NA,No fish
30.06,1,20230711,Ano_Nuevo,MPA,1,0,37.5,Soft,Low,Low,0,0,NA
31.01,3,20230711,Ano_Nuevo,MPA,4,1,38.5,Hard,Medium,High,0.625,1.039721,NA
31.03,3,20230711,Ano_Nuevo,MPA,7,6,37.5,Mixed-hard,Medium,High,0.5714286,0.9556999,NA
31.05,1,20230711,Ano_Nuevo,MPA,1,1,32.5,Hard,Medium,Low,0,0,NA
32.01,4,20230712,Ano_Nuevo,REF,5,4,49,Hard,Medium,Medium,0.72,1.332179,NA
32.03,4,20230712,Ano_Nuevo,REF,5,5,41,Mixed-soft,Low,Low,0.72,1.332179,NA
32.04,6,20230712,Ano_Nuevo,REF,9,7,46,Hard,Medium,High,0.7901235,1.676988,NA
32.06,6,20230712,Ano_Nuevo,REF,11,10,42,Hard,Medium,Medium,0.7603306,1.594167,NA
33.01,12,20230713,Ano_Nuevo,MPA,25,23,37,Hard,Medium,High,0.8608,2.223069,NA
33.04,4,20230713,Ano_Nuevo,MPA,5,3,32,Hard,Medium,High,0.72,1.332179,NA
33.05,1,20230713,Ano_Nuevo,MPA,2,0,38,Soft,Low,Low,0,0,NA
33.06,2,20230713,Ano_Nuevo,MPA,2,2,33,Mixed-soft,Low,Low,0.5,0.6931472,NA
34.01,5,20230713,Ano_Nuevo,REF,11,8,45,Mixed-hard,Low,Medium,0.7438017,1.46814,NA
34.03,3,20230713,Ano_Nuevo,REF,6,3,36,Hard,Medium,Medium,0.6111111,1.011404,NA
35.01,4,20230714,Ano_Nuevo,MPA,14,0,41,NA,NA,NA,0.5306122,0.9911389,Moisture in lens distorting habitat
35.03,1,20230714,Ano_Nuevo,MPA,2,2,42,Soft,Low,Low,0,0,NA
35.04,6,20230714,Ano_Nuevo,MPA,9,9,38,Mixed-soft,Low,Medium,0.7901235,1.676988,NA
35.05,2,20230714,Ano_Nuevo,MPA,7,7,39,Hard,Low,Low,0.244898,0.4101163,NA
35.06,2,20230714,Ano_Nuevo,MPA,3,3,32,Mixed-soft,Low,Low,0.4444444,0.6365142,NA
36.03,2,20230725,Montara,REF,10,4,31.1,Soft,Low,Low,0.32,0.5004024,NA
36.04,3,20230725,Montara,REF,6,3,31.4,Soft,Low,Low,0.5,0.8675632,NA
36.05,3,20230725,Montara,REF,3,2,32.3,Soft,Low,Low,0.6666667,1.098612,NA
36.06,2,20230725,Montara,REF,6,6,29.9,Soft,Low,Low,0.2777778,0.4505612,NA
36.07,3,20230725,Montara,REF,6,6,30.8,Soft,Low,Low,0.5,0.8675632,NA
37.03,6,20230725,Montara,MPA,43,13,33.2,Mixed-Soft,Low,Low,0.6565711,1.269972,NA
37.04,3,20230725,Montara,MPA,7,5,37.2,Soft,Low,Low,0.6122449,1.004242,NA
37.05,1,20230725,Montara,MPA,2,1,33.5,Mixed-Soft,Low,Low,0,0,NA
37.06,2,20230725,Montara,MPA,5,5,36.6,Soft,Low,Low,0.32,0.5004024,NA
37.07,7,20230725,Montara,MPA,12,11,35.4,Hard,Medium,Medium,0.7083333,1.589027,NA
38.03,1,20230725,Montara,MPA,6,1,35.4,Mixed-hard,Medium,Low,0,0,NA
38.05,2,20230725,Montara,MPA,2,2,35.7,Hard,Low,Medium,0.5,0.6931472,NA
38.07,9,20230725,Montara,MPA,43,23,36.6,Mixed-soft,Low,Low,0.7247161,1.652693,NA
39.03,3,20230725,Montara,REF,3,2,33.2,Soft,Low,Low,0.6666667,1.098612,NA
39.04,1,20230725,Montara,REF,5,3,35.5,Soft,Low,Low,0,0,NA
39.05,1,20230725,Montara,REF,2,2,34.7,Soft,Low,Low,0,0,NA
39.06,2,20230725,Montara,REF,3,3,33.2,Soft,Low,Low,0.4444444,0.6365142,NA
39.07,2,20230725,Montara,REF,3,3,36.9,Mixed-hard,Low,Low,0.4444444,0.6365142,NA
4.01,1,20230614,Point_Lobos,REF,5,3,41.9,Soft,Low,Low,0,0,NA
4.03,9,20230614,Point_Lobos,REF,75,61,38.2,Hard,High,Low,0.5820444,1.191933,NA
4.04,2,20230614,Point_Lobos,REF,11,9,27.7,Hard,High,High,0.4958678,0.6890092,NA
4.05,6,20230614,Point_Lobos,REF,40,5,30.9,Hard,High,High,0.35125,0.8123187,NA
40.03,4,20230725,Montara,REF,8,6,31.1,Soft,Low,Low,0.5625,1.073543,NA
40.04,2,20230725,Montara,REF,5,2,29.3,Mixed-soft,Low,Low,0.48,0.6730117,NA
40.05,2,20230725,Montara,REF,3,2,31.1,Soft,Low,Low,0.4444444,0.6365142,NA
40.06,1,20230725,Montara,REF,5,5,31.1,Soft,Low,Low,0,0,NA
40.07,5,20230725,Montara,REF,34,3,31.1,Mixed-hard,Medium,Low,0.432526,0.8820847,NA
41.03,4,20230725,Montara,MPA,5,4,35.5,Hard,Low,Low,0.72,1.332179,NA
41.04,1,20230725,Montara,REF,4,4,35.7,Soft,Low,Low,0,0,NA
41.05,1,20230725,Montara,REF,1,1,35.7,Soft,Low,Low,0,0,NA
41.06,5,20230725,Montara,REF,8,8,34.4,Mixed-Hard,Low,Low,0.78125,1.559581,NA
41.07,3,20230725,Montara,REF,8,6,34.7,Soft,Low,Low,0.59375,0.9743148,NA
42.03,2,20230726,Montara,REF,3,3,32.6,Soft,Low,Low,0.4444444,0.6365142,NA
42.04,6,20230726,Montara,REF,55,21,31.7,Hard,High,Low,0.2644628,0.6320774,NA
42.05,4,20230726,Montara,REF,5,5,35.1,Mixed-Soft,Low,Low,0.72,1.332179,NA
42.06,2,20230726,Montara,REF,6,5,32,Soft,Low,Low,0.5,0.6931472,NA
42.07,2,20230726,Montara,REF,6,6,30.5,Soft,Low,Low,0.4444444,0.6365142,NA
43.03,3,20230726,Montara,REF,6,4,36,Soft,Low,Low,0.5,0.8675632,NA
43.04,2,20230726,Montara,REF,3,3,43,Soft,Low,Low,0.4444444,0.6365142,NA
43.05,1,20230726,Montara,REF,3,1,33.8,Soft,Low,Low,0,0,NA
43.06,2,20230726,Montara,REF,3,2,32,Mixed-Hard,Low,Low,0.4444444,0.6365142,NA
43.07,5,20230726,Montara,REF,5,4,31.7,Hard,Low,Low,0.8,1.609438,NA
44.03,2,20230726,Montara,MPA,2,2,32.6,Soft,Low,Low,0.5,0.6931472,NA
44.04,1,20230726,Montara,MPA,0,0,34.4,Hard,NA,NA,NA,NA,"No fish, only a very small portion of habitat visible at any point"
44.05,2,20230726,Montara,MPA,2,1,30.5,Hard,Low,Medium,0.5,0.6931472,NA
44.06,5,20230726,Montara,MPA,5,2,33.2,Hard,Medium,Medium,0.8,1.609438,NA
44.07,3,20230726,Montara,MPA,3,1,32.9,Hard,Low,Low,0.6666667,1.098612,NA
45.03,2,20230726,Montara,MPA,2,2,36.3,Soft,Low,Low,0.5,0.6931472,NA
45.04,2,20230726,Montara,MPA,2,1,28.3,Hard,Low,Low,0.5,0.6931472,NA
45.05,1,20230726,Montara,MPA,7,7,34.4,Hard,Low,Medium,0,0,NA
45.06,11,20230726,Montara,MPA,29,9,36,Hard,Medium,High,0.7895363,1.925588,NA
45.07,12,20230726,Montara,MPA,26,12,22.2,Hard,High,High,0.8461538,2.171591,NA
46.03,1,20230726,Montara,REF,6,2,36,Soft,Low,Low,0,0,NA
46.04,2,20230726,Montara,REF,2,2,35.1,Soft,Low,Low,0.5,0.6931472,NA
46.05,1,20230726,Montara,REF,2,2,37.5,Soft,Low,Low,0,0,NA
46.06,3,20230726,Montara,REF,4,3,34.4,Soft,Low,Low,0.625,1.039721,NA
46.07,1,20230726,Montara,REF,2,2,30.2,Soft,Low,Low,0,0,NA
47.03,4,20230726,Montara,MPA,7,4,32.3,Hard,Medium,Medium,0.6938776,1.277034,NA
47.04,3,20230726,Montara,MPA,3,1,35.7,Soft,Low,Low,0.6666667,1.098612,NA
47.06,3,20230726,Montara,MPA,15,5,36.9,Soft,Low,Low,0.24,0.4850941,NA
47.07,6,20230726,Montara,MPA,7,5,34.1,Hard,Medium,High,0.8163265,1.747868,NA
48.03,3,20230727,Montara,MPA,9,8,37.8,Soft,Low,Low,0.4938272,0.8486856,NA
48.04,5,20230727,Montara,MPA,8,6,39.3,Hard,Low,Low,0.78125,1.559581,NA
48.05,5,20230727,Montara,MPA,11,9,31.1,Mixed-Hard,Low,Low,0.7107438,1.414279,NA
48.06,4,20230727,Montara,MPA,8,5,34.4,Hard,High,Low,0.5625,1.073543,NA
48.07,3,20230727,Montara,MPA,6,2,32.6,Mixed-Hard,Medium,Low,0.6111111,1.011404,NA
49.04,1,20230727,Montara,REF,1,1,33.2,Hard,Low,Low,0,0,NA
49.05,2,20230727,Montara,REF,4,2,32,Low,Soft,Soft,0.375,0.5623351,NA
49.07,4,20230727,Montara,REF,6,5,28.6,Hard,High,Low,0.6666667,1.242453,NA
5.01,9,20230614,Point_Lobos,MPA,18,15,26.3,Hard,High,High,0.8395062,2.000085,NA
5.03,7,20230614,Point_Lobos,MPA,30,14,32.2,Hard,High,High,0.4911111,1.113961,NA
50.03,2,20230727,Montara,MPA,4,2,34.1,Soft,Low,Low,0.5,0.6931472,NA
50.04,4,20230727,Montara,MPA,6,5,24,Hard,Low,Low,0.7222222,1.329661,NA
50.05,2,20230727,Montara,MPA,3,2,28.4,Mixed-soft,Low,Low,0.4444444,0.6365142,NA
50.06,5,20230727,Montara,MPA,7,5,32.6,Mixed-soft,Low,Low,0.7755102,1.549826,NA
50.07,7,20230727,Montara,MPA,22,9,30.8,Mixed-Hard,Low,Low,0.7190083,1.515708,NA
51.03,1,20230727,Montara,MPA,1,1,31.4,Soft,Low,Low,0,0,NA
51.05,2,20230727,Montara,MPA,3,2,33.2,Soft,Low,Low,0.4444444,0.6365142,NA
51.06,7,20230727,Montara,MPA,10,10,27.9,Hard,Low,Medium,0.84,1.886697,NA
51.07,3,20230727,Montara,MPA,5,2,40.8,Mixed-Soft,Low,Low,0.56,0.9502705,NA
6.01,10,20230614,Point_Lobos,MPA,35,18,54.5,Hard,High,High,0.7722449,1.780584,NA
6.05,9,20230614,Point_Lobos,MPA,15,10,45.9,Mixed-Hard,High,High,0.8266667,1.986732,NA
7.01,9,20230614,Point_Lobos,MPA,20,18,38.6,Hard,High,High,0.75,1.772875,NA
7.03,11,20230614,Point_Lobos,MPA,47,18,36.8,Hard,High,High,0.5504753,1.385938,NA
8.03,7,20230614,Point_Lobos,REF,13,6,27.7,Hard,High,High,0.816568,1.804372,NA
8.05,6,20230614,Point_Lobos,REF,19,15,35.4,Hard,Medium,High,0.7590028,1.570859,NA
9.01,4,20230615,Point_Lobos,REF,8,4,48.6,Hard,High,Medium,0.5625,1.073543,NA
9.03,7,20230615,Point_Lobos,REF,25,10,47.7,Hard,High,High,0.72,1.521517,NA
9.05,8,20230615,Point_Lobos,REF,27,15,41.8,Hard,Low,High,0.7709191,1.733155,NA
